address,city,state,Zip,Latitude,Longitude
6715 LAKEVIEW DR,BOULDER,Colorado,80303,40.003553,-105.196908
169 N 76TH ST,BOULDER,Colorado,80303,39.988064,-105.176115
2225 WALNUT ST,BOULDER,Colorado,80302,40.020083,-105.265892
1530 KENDALL DR,BOULDER,Colorado,80305,39.972972,-105.258882
525 13TH ST,BOULDER,Colorado,80302,39.998489,-105.276506
1400 RIVERSIDE AVE,BOULDER,Colorado,80304,40.049847,-105.280136
1834 ARAPAHOE AVE,BOULDER,Colorado,80302,40.014363,-105.270757
2365 PANORAMA AVE,BOULDER,Colorado,80304,40.026511,-105.265847
182 CHEROKEE WAY,BOULDER,Colorado,80303,39.989957,-105.229901
3120 PEARL PKWY,BOULDER,Colorado,80301,40.022929,-105.251246
2950 BIXBY LN,BOULDER,Colorado,80303,40.00209,-105.254997
4871 BROADWAY,BOULDER,Colorado,80302,40.063108,-105.282855
1485 TOBYS LN,BOULDER,Colorado,80303,40.013148,-105.224483
2900 SHADOW CREEK DR,BOULDER,Colorado,80303,40.010011,-105.255724
77 PEAKVIEW RD,BOULDER,Colorado,80302,40.091149,-105.335228
3600 CONIFER CT,BOULDER,Colorado,80304,40.040155,-105.278369
1285 HARTFORD DR,BOULDER,Colorado,80305,39.976751,-105.255906
4748 ELDORADO SPRINGS DR,BOULDER,Colorado,80303,39.947542,-105.241992
244 VAQUERO DR,BOULDER,Colorado,80303,39.981791,-105.180515
4789 TANTRA DR,BOULDER,Colorado,80305,39.983037,-105.237495
1145 10TH ST,BOULDER,Colorado,80302,40.008171,-105.280294
2888 LOMA PL,BOULDER,Colorado,80301,40.041681,-105.255387
3030 ONEAL PKWY,BOULDER,Colorado,80301,40.033275,-105.252961
3344 16TH ST,BOULDER,Colorado,80304,40.035675,-105.27667
200 KIOWA PL,BOULDER,Colorado,80303,39.991856,-105.240836
1855 ATHENS ST,BOULDER,Colorado,80302,40.012913,-105.270861
940 S 46TH ST,BOULDER,Colorado,80305,39.980959,-105.241419
3285 MOORHEAD AVE,BOULDER,Colorado,80305,39.996631,-105.253307
833 19TH ST,BOULDER,Colorado,80302,40.002471,-105.269014
1526 SUNSET BLVD,BOULDER,Colorado,80304,40.023293,-105.276685
1130 MONROE DR,BOULDER,Colorado,80303,40.006369,-105.241715
4155 47TH ST,BOULDER,Colorado,80301,40.050272,-105.244728
4870 MEREDITH WAY,BOULDER,Colorado,80303,40.014177,-105.234181
2200 CANYON BLVD,BOULDER,Colorado,80302,40.017002,-105.26589
4860 MEREDITH WAY,BOULDER,Colorado,80303,40.013784,-105.23421
2031 GRANDVIEW AVE,BOULDER,Colorado,80302,40.012098,-105.268139
201 RIDGE RD,BOULDER,Colorado,80303,39.989883,-105.168356
3100 34TH ST,BOULDER,Colorado,80301,40.032164,-105.248702
1401 MARIPOSA AVE,BOULDER,Colorado,80302,39.998099,-105.274758
2207 BASELINE RD,BOULDER,Colorado,80302,40.000454,-105.264613
8756 STREAMCREST DR,BOULDER,Colorado,80302,40.132254,-105.286431
801 GILLASPIE DR,BOULDER,Colorado,80305,39.982355,-105.252235
660 TANTRA DR,BOULDER,Colorado,80305,39.983848,-105.238583
3580 CATALPA WAY,BOULDER,Colorado,80304,40.039718,-105.273399
4570 13TH ST,BOULDER,Colorado,80304,40.057338,-105.28053
1460 QUINCE AVE,BOULDER,Colorado,80304,40.047693,-105.279275
732 ITHACA DR,BOULDER,Colorado,80305,39.982639,-105.262494
560 MOHAWK DR,BOULDER,Colorado,80303,39.996979,-105.234153
9193 LIBBY HALL,BOULDER,Colorado,80301,40.049468,-105.201421
1645 PINE ST,BOULDER,Colorado,80302,40.021507,-105.274471
1545 HIGH ST,BOULDER,Colorado,80304,40.022714,-105.27637
5420 BASELINE RD,BOULDER,Colorado,80303,39.999748,-105.226842
1130 11TH ST,BOULDER,Colorado,80302,40.007908,-105.278339
1131 UNIVERSITY AVE,BOULDER,Colorado,80302,40.010836,-105.277918
1530 EISENHOWER DR,BOULDER,Colorado,80303,40.013171,-105.231612
5501 SPINE RD,BOULDER,Colorado,80301,40.074461,-105.202844
9032 TAHOE LN,BOULDER,Colorado,80301,40.018635,-105.14216
6219 RED HILL RD,BOULDER,Colorado,80302,40.087519,-105.30463
2856 HALLETT HALL,BOULDER,Colorado,80301,40.049468,-105.201421
900 JASMINE CIR,BOULDER,Colorado,80304,40.03803,-105.285135
6113 STEARNS WEST HALL,BOULDER,Colorado,80303,40.007341,-105.200197
2900 AURORA AVE,BOULDER,Colorado,80303,40.003581,-105.255764
1218 JAY ST,BOULDER,Colorado,80302,40.008757,-105.288168
5042 LEE HILL DR,BOULDER,Colorado,80302,40.092201,-105.347606
9 W COACH RD,BOULDER,Colorado,80302,40.06217,-105.327601
5 KITTREDGE CENTRAL HALL,BOULDER,Colorado,80301,40.049468,-105.201421
1580 KALMIA AVE,BOULDER,Colorado,80304,40.03889,-105.277638
850 W MOORHEAD CIR,BOULDER,Colorado,80305,39.981791,-105.238368
1920 VISTA DR,BOULDER,Colorado,80304,40.034468,-105.272152
3200 EASTMAN AVE,BOULDER,Colorado,80305,39.988867,-105.254159
3441 CRIPPLE CREEK SQ,BOULDER,Colorado,80305,39.966905,-105.252306
2800 AURORA AVE,BOULDER,Colorado,80303,40.003584,-105.258338
1850 FOLSOM ST,BOULDER,Colorado,80302,40.019379,-105.262531
2242 WALNUT ST,BOULDER,Colorado,80302,40.019654,-105.265302
2653 VALMONT RD,BOULDER,Colorado,80304,40.029392,-105.261298
6813 IDYLWILD CT,BOULDER,Colorado,80301,40.061315,-105.195141
2455 KENWOOD DR,BOULDER,Colorado,80305,39.988548,-105.26258
2638 GRAPEWOOD LN,BOULDER,Colorado,80304,40.03405,-105.262408
7391 BROCKWAY DR,BOULDER,Colorado,80303,39.990055,-105.180221
6168 FLAGSTAFF RD,BOULDER,Colorado,80302,39.973377,-105.339834
4563 BEACHCOMBER CT,BOULDER,Colorado,80301,40.057364,-105.205645
50 BENTHAVEN PL,BOULDER,Colorado,80305,39.973722,-105.262689
1043 PLEASANT ST,BOULDER,Colorado,80302,40.009672,-105.278914
2915 BASELINE RD,BOULDER,Colorado,80303,40.001439,-105.254596
1190 35TH ST,BOULDER,Colorado,80303,40.007099,-105.248037
1715 AURORA AVE,BOULDER,Colorado,80302,40.003918,-105.271066
2641 JUNIPER AVE,BOULDER,Colorado,80304,40.038142,-105.261754
1260 KALMIA AVE,BOULDER,Colorado,80304,40.038694,-105.281286
4575 14TH ST,BOULDER,Colorado,80304,40.057608,-105.280317
1553 LODGE LN,BOULDER,Colorado,80303,40.013583,-105.226288
415 KIOWA PL,BOULDER,Colorado,80303,39.99478,-105.240879
1040 9TH ST,BOULDER,Colorado,80302,40.006272,-105.281756
1128 PENNSYLVANIA AVE,BOULDER,Colorado,80302,40.00848,-105.277849
3953 PROMONTORY CT,BOULDER,Colorado,80304,40.047296,-105.293857
2160 VASSAR DR,BOULDER,Colorado,80305,39.984874,-105.264487
8218 WILLIAMS VILLAGE EAST HALL,BOULDER,Colorado,80301,40.049468,-105.201421
805 29TH ST,BOULDER,Colorado,80303,40.002595,-105.256486
320 S 38TH ST,BOULDER,Colorado,80305,39.988123,-105.248727
2121 CANYON BLVD,BOULDER,Colorado,80302,40.017866,-105.267543
935 PLEASANT ST,BOULDER,Colorado,80302,40.009738,-105.281306
2050 ATHENS ST,BOULDER,Colorado,80302,40.012282,-105.267797
710 36TH ST,BOULDER,Colorado,80303,40.000624,-105.247147
319 29TH ST,BOULDER,Colorado,80305,39.996858,-105.258015
3301 ARAPAHOE AVE,BOULDER,Colorado,80303,40.015289,-105.249314
30 SOUTH BOULDER CIR,BOULDER,Colorado,80303,39.986952,-105.228643
4567 SUNNYSIDE PL,BOULDER,Colorado,80301,40.050854,-105.247158
214 ARROYO CHICO,BOULDER,Colorado,80302,40.040543,-105.352418
970 MIAMI WAY,BOULDER,Colorado,80305,39.980043,-105.254725
985 16TH ST,BOULDER,Colorado,80302,40.005166,-105.27292
4834 W MOORHEAD CIR,BOULDER,Colorado,80305,39.978854,-105.23582
3485 MOORHEAD AVE,BOULDER,Colorado,80305,39.995123,-105.250697
994 TIMBER LN,BOULDER,Colorado,80304,40.04288,-105.310091
4680 TALBOT DR,BOULDER,Colorado,80303,40.001621,-105.237279
933 14TH ST,BOULDER,Colorado,80302,40.004454,-105.275368
3860 CAMPO CT,BOULDER,Colorado,80301,40.045232,-105.250517
4453 HAMILTON CT,BOULDER,Colorado,80305,39.988767,-105.24072
1574 NORTH ST,BOULDER,Colorado,80304,40.024447,-105.276191
1590 YAUPON AVE,BOULDER,Colorado,80304,40.059052,-105.277757
1350 20TH ST,BOULDER,Colorado,80302,40.012952,-105.268809
2675 ILIFF ST,BOULDER,Colorado,80305,39.971302,-105.25864
2807 SUNDOWN LN,BOULDER,Colorado,80303,40.010318,-105.2576
4791 WHITE ROCK CIR,BOULDER,Colorado,80301,40.060266,-105.214763
150 S 33RD ST,BOULDER,Colorado,80305,39.990722,-105.253684
1000 GRANDVIEW AVE,BOULDER,Colorado,80302,40.011276,-105.279781
6858 SOUTH BOULDER RD,BOULDER,Colorado,80303,39.986288,-105.192597
2831 ELLISON PL,BOULDER,Colorado,80304,40.02734,-105.277788
1245 EDINBORO DR,BOULDER,Colorado,80305,39.977027,-105.253218
3363 MADISON AVE,BOULDER,Colorado,80303,40.00635,-105.249991
2224 15TH ST,BOULDER,Colorado,80302,40.021373,-105.276653
3065 30TH ST,BOULDER,Colorado,80301,40.030162,-105.254101
5448 ILLINI WAY,BOULDER,Colorado,80303,39.987954,-105.2255
3333 ONEAL PKWY,BOULDER,Colorado,80301,40.034036,-105.249925
1450 HIGH ST,BOULDER,Colorado,80304,40.022268,-105.277537
890 11TH ST,BOULDER,Colorado,80302,40.003303,-105.27831
2475 LEE HILL DR,BOULDER,Colorado,80302,40.077568,-105.311855
4593 LEE HILL DR,BOULDER,Colorado,80302,40.090031,-105.338752
1570 POPLAR AVE,BOULDER,Colorado,80304,40.046811,-105.277504
1820 PEARL ST,BOULDER,Colorado,80302,40.019421,-105.27149
2424 5TH ST,BOULDER,Colorado,80304,40.021036,-105.289817
920 CRESCENT DR,BOULDER,Colorado,80303,40.00412,-105.230764
4527 ELDORADO SPRINGS DR,BOULDER,Colorado,80303,39.94404,-105.248445
1705 FOREST AVE,BOULDER,Colorado,80304,40.032956,-105.274859
3455 STANFORD AVE,BOULDER,Colorado,80305,39.985669,-105.253471
1605 UPLAND AVE,BOULDER,Colorado,80304,40.053245,-105.276677
3250 ONEAL CIR,BOULDER,Colorado,80301,40.034008,-105.251631
2015 GRAPE AVE,BOULDER,Colorado,80304,40.034435,-105.270128
2610 IRIS AVE,BOULDER,Colorado,80304,40.036185,-105.262745
5640 ARAPAHOE AVE,BOULDER,Colorado,80303,40.013806,-105.224148
957 ROXWOOD LN,BOULDER,Colorado,80303,40.004583,-105.225851
1525 KALMIA AVE,BOULDER,Colorado,80304,40.039289,-105.278553
4785 TANTRA DR,BOULDER,Colorado,80305,39.983036,-105.237535
3284 WRIGHT AVE,BOULDER,Colorado,80301,40.032976,-105.238376
2142 CANYON BLVD,BOULDER,Colorado,80302,40.016999,-105.266623
5476 WHITE PL,BOULDER,Colorado,80303,40.009272,-105.225944
350 PONCA PL,BOULDER,Colorado,80303,39.994322,-105.23432
315 28TH ST,BOULDER,Colorado,80305,39.996075,-105.259014
6657 DREW RANCH LN,BOULDER,Colorado,80301,40.075676,-105.199743
7670 FAIRVIEW RD,BOULDER,Colorado,80303,39.992625,-105.173714
2635 MAPLETON AVE LOT 25,BOULDER,Colorado,80304,40.026086,-105.261821
8444 STONERIDGE TER,BOULDER,Colorado,80302,40.126244,-105.29489
817 19TH ST,BOULDER,Colorado,80302,40.002296,-105.269193
1297 AIKINS WAY,BOULDER,Colorado,80305,39.975823,-105.2377
2707 VALMONT RD,BOULDER,Colorado,80304,40.030346,-105.260387
1000 MAXWELL AVE,BOULDER,Colorado,80304,40.02147,-105.283893
529 UNIVERSITY AVE,BOULDER,Colorado,80302,40.010592,-105.288514
4855 EDISON AVE,BOULDER,Colorado,80301,40.031267,-105.240745
1975 30TH ST,BOULDER,Colorado,80301,40.021084,-105.254099
4935 QUALLA DR,BOULDER,Colorado,80303,39.99164,-105.23283
3555 16TH ST,BOULDER,Colorado,80304,40.038525,-105.277654
956 TERRACE CIR N,BOULDER,Colorado,80302,40.067207,-105.284495
1043 KALMIA AVE,BOULDER,Colorado,80304,40.039871,-105.28373
6255 HABITAT DR,BOULDER,Colorado,80301,40.060986,-105.208213
800 28TH ST,BOULDER,Colorado,80303,40.002598,-105.257548
2985 COLLEGE AVE,BOULDER,Colorado,80303,40.007206,-105.254489
1135 11TH ST,BOULDER,Colorado,80302,40.008198,-105.279167
1055 ADAMS CIR,BOULDER,Colorado,80303,40.005051,-105.256579
4766 FRANKLIN DR,BOULDER,Colorado,80301,40.032792,-105.243017
2790 REGIS DR,BOULDER,Colorado,80305,39.985698,-105.258244
5546 SPINE RD,BOULDER,Colorado,80301,40.07499,-105.201748
4977 MOORHEAD AVE,BOULDER,Colorado,80305,39.987056,-105.237153
1707 22ND ST,BOULDER,Colorado,80302,40.016555,-105.266621
642 S 40TH ST,BOULDER,Colorado,80305,39.984017,-105.24705
1932 CANYON BLVD,BOULDER,Colorado,80302,40.016992,-105.269346
8494 STONERIDGE TER,BOULDER,Colorado,80302,40.128037,-105.294754
3580 SILVER PLUME CT,BOULDER,Colorado,80305,39.967497,-105.25091
5516 SPINE RD,BOULDER,Colorado,80301,40.074557,-105.201041
2505 YARROW CT,BOULDER,Colorado,80305,39.977128,-105.26114
5000 BUTTE ST LOT 258,BOULDER,Colorado,80301,40.033979,-105.236179
4638 JAMESTON ST,BOULDER,Colorado,80301,40.059138,-105.163665
782 COTTAGE LN,BOULDER,Colorado,80304,40.051823,-105.285646
2853 NEBRINA PL,BOULDER,Colorado,80301,40.04344,-105.256568
930 15TH ST,BOULDER,Colorado,80302,40.004322,-105.27341
3328 WRIGHT CIR,BOULDER,Colorado,80301,40.033385,-105.238875
838 NORTH ST,BOULDER,Colorado,80304,40.024434,-105.286039
5119 WILLIAMS FORK TRL,BOULDER,Colorado,80301,40.066828,-105.201942
5124 WILLIAMS FORK TRL,BOULDER,Colorado,80301,40.066385,-105.201802
3525 SILVER PLUME CT,BOULDER,Colorado,80305,39.967979,-105.251339
1010 12TH ST,BOULDER,Colorado,80302,40.005782,-105.277103
1850 22ND ST,BOULDER,Colorado,80302,40.019033,-105.265721
4711 W MOORHEAD CIR,BOULDER,Colorado,80305,39.979809,-105.237809
3355 EASTMAN AVE,BOULDER,Colorado,80305,39.989322,-105.253605
2121 MESA DR RM 337A,BOULDER,Colorado,80304,40.025241,-105.269507
1581 TIMBER LN,BOULDER,Colorado,80304,40.043922,-105.316525
6522 RED HILL RD,BOULDER,Colorado,80302,40.093253,-105.303323
400 MAPLETON AVE,BOULDER,Colorado,80304,40.02021,-105.291296
7163 OLD POST RD,BOULDER,Colorado,80301,40.058812,-105.186264
4245 REDWOOD PL,BOULDER,Colorado,80301,40.04909,-105.255503
4225 AURORA AVE,BOULDER,Colorado,80303,40.004661,-105.24097
1128 LINCOLN PL,BOULDER,Colorado,80302,40.008086,-105.280682
4131 WESTCLIFFE CT,BOULDER,Colorado,80301,40.049773,-105.248125
907 18TH ST,BOULDER,Colorado,80302,40.004172,-105.270206
3350 CAYMAN PL,BOULDER,Colorado,80301,40.050382,-105.251825
5985 BRANDYWINE CT,BOULDER,Colorado,80301,40.05811,-105.214276
2850 29TH ST,BOULDER,Colorado,80301,40.028384,-105.2554
1521 11TH ST,BOULDER,Colorado,80302,40.012036,-105.279527
4618 16TH ST,BOULDER,Colorado,80304,40.058615,-105.276892
700 LOCUST AVE,BOULDER,Colorado,80304,40.053589,-105.28825
6561 WILLIAMS VILLAGE EAST HALL,BOULDER,Colorado,80301,40.049468,-105.201421
2606 JUNIPER AVE,BOULDER,Colorado,80304,40.036772,-105.262934
935 11TH ST,BOULDER,Colorado,80302,40.004449,-105.279046
190 S 33RD ST,BOULDER,Colorado,80305,39.989968,-105.253686
3220 MADISON AVE,BOULDER,Colorado,80303,40.00571,-105.250916
1037 E MOORHEAD CIR,BOULDER,Colorado,80305,39.980068,-105.236101
2424 6TH ST,BOULDER,Colorado,80304,40.021016,-105.28828
3821 APACHE CT W,BOULDER,Colorado,80303,39.993627,-105.245754
4507 S HAMPTON CIR,BOULDER,Colorado,80301,40.046229,-105.245592
1060 KENT ST,BOULDER,Colorado,80303,40.006391,-105.253951
4322 SUNSHINE CANYON DR,BOULDER,Colorado,80302,40.052739,-105.33332
875 39TH ST,BOULDER,Colorado,80303,40.003359,-105.244929
1116 RIDGLEA WAY,BOULDER,Colorado,80303,40.006602,-105.200186
1090 30TH ST,BOULDER,Colorado,80303,40.005712,-105.252766
4998 MOORHEAD AVE,BOULDER,Colorado,80305,39.986216,-105.238547
1818 19TH ST,BOULDER,Colorado,80302,40.017715,-105.270104
3365 CHISHOLM TRL,BOULDER,Colorado,80301,40.035761,-105.252509
3850 PASEO DEL PRADO,BOULDER,Colorado,80301,40.044515,-105.256264
2600 9TH ST,BOULDER,Colorado,80304,40.024773,-105.285013
4803 BRANDON CREEK DR,BOULDER,Colorado,80301,40.062628,-105.195849
5505 VALMONT RD LOT 268,BOULDER,Colorado,80301,40.034299,-105.223092
4500 19TH ST LOT 322,BOULDER,Colorado,80304,40.055675,-105.275504
5000 BUTTE ST LOT 287,BOULDER,Colorado,80301,40.033979,-105.236179
921 TELLER CIR,BOULDER,Colorado,80303,40.004955,-105.234519
1440 ITHACA DR,BOULDER,Colorado,80305,39.974338,-105.256297
1592 KILKENNY ST,BOULDER,Colorado,80303,40.014299,-105.136093
4068 DAWN CT,BOULDER,Colorado,80304,40.048477,-105.259596
3064 ARNETT ST,BOULDER,Colorado,80304,40.030454,-105.261826
2121 MESA DR,BOULDER,Colorado,80304,40.025241,-105.269507
5588 PENNSYLVANIA AVE,BOULDER,Colorado,80303,40.005837,-105.22359
5860 S ORCHARD CREEK CIR,BOULDER,Colorado,80301,40.054733,-105.217656
3255 6TH ST,BOULDER,Colorado,80304,40.033703,-105.289457
411 VALLEY VIEW DR,BOULDER,Colorado,80304,40.024799,-105.29119
993 E MOORHEAD CIR,BOULDER,Colorado,80305,39.980661,-105.236529
3790 SILVER PLUME LN,BOULDER,Colorado,80305,39.968013,-105.248912
3115 REPPLIER ST,BOULDER,Colorado,80304,40.031654,-105.271036
1955 30TH ST,BOULDER,Colorado,80301,40.020773,-105.254133
760 S 45TH ST,BOULDER,Colorado,80305,39.982633,-105.24238
1645 7TH ST,BOULDER,Colorado,80302,40.012457,-105.285736
5533 FLAGSTAFF RD,BOULDER,Colorado,80302,39.977312,-105.325849
680 S LASHLEY LN,BOULDER,Colorado,80305,39.984442,-105.248314
4500 19TH ST LOT 619,BOULDER,Colorado,80304,40.055675,-105.275504
504 VALLEY VIEW DR,BOULDER,Colorado,80304,40.024429,-105.289826
381 ARROYO CHICO,BOULDER,Colorado,80302,40.043223,-105.353854
990 MORGAN DR,BOULDER,Colorado,80303,40.006203,-105.238443
2131 ARAPAHOE AVE,BOULDER,Colorado,80302,40.014864,-105.267135
815 NORTH ST,BOULDER,Colorado,80304,40.024864,-105.28649
4797 DORCHESTER CIR,BOULDER,Colorado,80301,40.061986,-105.172438
930 W MOORHEAD CIR,BOULDER,Colorado,80305,39.981213,-105.23898
5704 RIM ROCK CT,BOULDER,Colorado,80301,40.076132,-105.196025
825 MCINTIRE ST,BOULDER,Colorado,80303,40.002779,-105.234251
3016 FOLSOM ST,BOULDER,Colorado,80304,40.030303,-105.262857
3105 ARNETT ST,BOULDER,Colorado,80304,40.031296,-105.262366
2119 GOSS CIR W,BOULDER,Colorado,80302,40.016554,-105.26731
3155 ARNETT ST,BOULDER,Colorado,80304,40.03213,-105.262374
3756 26TH ST,BOULDER,Colorado,80304,40.042667,-105.262823
5753 N ORCHARD CREEK CIR,BOULDER,Colorado,80301,40.057499,-105.22055
3003 VALMONT RD,BOULDER,Colorado,80301,40.031073,-105.252567
5320 KEWANEE DR,BOULDER,Colorado,80303,39.991558,-105.228259
3030 FOLSOM ST,BOULDER,Colorado,80304,40.030493,-105.262662
2590 YARROW CT,BOULDER,Colorado,80305,39.976855,-105.260381
1860 BALSAM AVE,BOULDER,Colorado,80304,40.026511,-105.273083
3107 KINGS RIDGE BLVD,BOULDER,Colorado,80301,40.031201,-105.239761
746 11TH ST,BOULDER,Colorado,80302,40.000882,-105.278283
737 19TH ST,BOULDER,Colorado,80302,40.000798,-105.269116
4871 ELDORADO SPRINGS DR,BOULDER,Colorado,80303,39.94956,-105.239914
4817 ELDORADO SPRINGS DR,BOULDER,Colorado,80303,39.949521,-105.24097
1408 SUNSHINE CANYON DR,BOULDER,Colorado,80302,40.026322,-105.311123
4500 19TH ST LOT 342,BOULDER,Colorado,80304,40.055675,-105.275504
621 TANTRA DR,BOULDER,Colorado,80305,39.984216,-105.239891
3003 VALMONT RD LOT 74,BOULDER,Colorado,80301,40.031073,-105.252567
1502 UPLAND AVE,BOULDER,Colorado,80304,40.052527,-105.278132
7701 WILLIAMS VILLAGE NORTH HALL,BOULDER,Colorado,80301,40.049468,-105.201421
695 MANHATTAN DR,BOULDER,Colorado,80303,39.999662,-105.231091
285 BROKEN FENCE RD,BOULDER,Colorado,80302,40.016351,-105.351828
545 MAPLETON AVE,BOULDER,Colorado,80304,40.020915,-105.289044
4454 WELLINGTON RD,BOULDER,Colorado,80301,40.055579,-105.212567
182 RIDGE RD,BOULDER,Colorado,80303,39.988262,-105.169507
1255 19TH ST,BOULDER,Colorado,80302,40.012289,-105.270397
3069 BROADWAY,BOULDER,Colorado,80304,40.030459,-105.282374
4500 19TH ST LOT 299,BOULDER,Colorado,80304,40.055675,-105.275504
2955 GLENWOOD DR,BOULDER,Colorado,80301,40.033492,-105.255123
2340 SOUTH ST,BOULDER,Colorado,80302,40.019205,-105.263931
4500 19TH ST LOT 571,BOULDER,Colorado,80304,40.055675,-105.275504
3060 PENNSYLVANIA AVE,BOULDER,Colorado,80303,40.007985,-105.254039
2355 GROVE ST,BOULDER,Colorado,80302,40.015703,-105.263785
3455 TABLE MESA DR,BOULDER,Colorado,80305,39.985127,-105.254494
1001 ARAPAHOE AVE.,BOULDER,Colorado,80302,40.014017,-105.281826
4870 TWIN LAKES RD,BOULDER,Colorado,80301,40.063336,-105.195468
